layer,from,to
1,2,16
1,2,16
1,2,16
1,2,16
1,2,16
1,2,16
1,2,16
1,2,16
1,2,16
1,2,16
1,2,16
1,2,16
1,2,17
1,2,17
1,2,17
1,3,16
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,18
1,3,19
1,3,19
1,3,19
1,3,20
1,3,20
1,3,19
1,3,15
1,3,21
1,3,22
1,3,22
1,3,22
1,3,22
1,3,22
1,4,18
1,4,18
1,1,18
1,1,18
1,1,17
1,1,17
1,1,23
1,1,18
1,1,18
1,5,18
1,5,18
1,5,24
1,5,24
1,5,24
1,5,24
1,5,20
1,5,20
1,5,23
1,5,23
1,6,18
1,6,18
1,7,18
1,7,18
1,7,18
1,7,18
1,7,18
1,7,18
1,7,18
1,7,25
1,7,26
1,7,26
1,7,26
1,7,27
1,7,27
1,7,19
1,7,20
1,7,20
1,7,19
1,7,19
1,7,23
1,7,23
1,7,23
1,7,23
1,7,23
1,7,28
1,7,29
1,7,15
1,7,28
1,7,15
1,7,28
1,7,15
2,5,24
2,5,24
2,5,28
2,2,16
2,2,16
2,2,16
2,2,16
2,2,16
2,2,15
2,2,17
2,2,17
2,2,17
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,18
2,3,19
2,3,19
2,3,19
2,8,18
2,8,18
2,8,18
2,8,18
2,8,18
2,8,18
2,8,19
2,8,30
2,8,31
2,4,18
2,4,18
2,4,18
2,4,18
2,4,18
2,4,18
2,4,18
2,4,18
2,4,26
2,4,19
2,4,19
2,4,20
2,4,20
2,4,19
2,4,25
2,7,18
2,7,18
2,7,19
2,7,19
2,7,19
2,7,19
2,7,19
2,7,19
2,7,19
2,7,19
2,7,26
2,7,26
2,7,32
2,7,27
2,7,23
2,7,23
2,7,23
2,7,30
2,7,30
2,7,22
2,7,28
2,7,33
2,7,34
2,7,35
2,7,28
2,7,28
2,1,18
2,1,18
2,1,18
2,1,18
2,1,19
2,1,19
2,1,19
2,1,19
2,1,15
2,1,17
2,6,18
2,6,18
2,9,18
2,10,18
3,7,18
3,7,36
3,7,37
3,7,26
3,7,25
3,7,38
3,7,19
3,7,19
3,7,19
3,7,19
3,7,20
3,7,19
3,7,19
3,7,33
3,7,22
3,7,39
3,7,29
3,7,28
3,7,15
3,7,30
3,7,23
3,4,15
3,8,40
3,8,18
3,8,18
3,8,18
3,8,18
3,8,18
3,8,18
3,8,19
3,8,30
3,8,15
3,8,30
3,2,16
3,2,16
3,2,16
3,2,16
3,2,16
3,2,16
3,2,16
3,2,16
3,2,16
3,2,16
3,2,16
3,2,17
3,2,22
3,2,17
3,2,17
3,2,41
3,2,42
3,1,25
3,1,36
3,1,19
3,1,19
3,1,18
3,1,18
3,1,18
3,1,18
3,1,18
3,1,18
3,1,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,18
3,3,36
3,3,36
3,3,24
3,3,17
3,9,18
3,9,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,16
4,3,36
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,3,18
4,7,18
4,7,18
4,7,18
4,7,18
4,7,18
4,7,18
4,7,18
4,7,19
4,7,19
4,7,19
4,7,38
4,7,43
4,7,19
4,7,19
4,7,38
4,7,32
4,7,44
4,7,39
4,7,39
4,7,28
4,7,17
4,7,28
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,20
4,11,19
4,11,22
4,7,18
4,7,18
4,7,18
4,7,18
4,7,18
4,7,18
4,7,18
4,7,18
4,1,18
4,1,18
4,1,18
4,1,18
4,1,18
4,1,18
4,1,18
4,1,18
4,1,18
4,1,18
4,1,18
4,1,18
4,1,18
4,1,18
4,1,36
4,1,19
4,11,16
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,11,18
4,7,18
4,7,38
4,7,38
4,7,18
4,7,18
4,7,18
4,7,18
4,7,18
4,7,19
4,7,19
4,7,19
4,7,20
4,7,19
4,7,32
4,7,32
4,7,40
4,7,28
4,7,28
4,7,35
4,7,28
4,2,16
4,2,16
4,2,16
4,2,16
4,2,17
4,5,24
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,18
5,7,43
5,7,45
5,7,15
5,7,20
5,7,15
5,7,37
5,7,26
5,7,26
5,7,26
5,7,26
5,7,26
5,7,26
5,7,26
5,7,26
5,7,23
5,1,16
5,1,18
5,1,18
5,1,18
5,1,18
5,1,18
5,1,18
5,1,18
5,1,18
5,1,18
5,1,18
5,1,38
5,1,26
5,1,26
5,11,16
5,11,16
5,11,46
5,11,18
5,11,18
5,11,18
5,11,18
5,11,18
5,11,18
5,11,18
5,11,18
5,11,18
5,11,18
5,11,18
5,11,26
5,2,16
5,2,16
5,2,16
5,2,16
5,2,18
5,2,18
5,2,17
5,5,24
5,5,23
5,8,18
5,7,18
5,7,35
5,7,33
5,7,28
5,7,28
5,7,39
5,7,22
5,7,20
5,7,43
5,7,24
5,7,37
5,7,26
5,7,26
5,7,26
5,7,26
5,7,26
5,7,26
5,7,26
5,3,18
5,3,18
5,3,18
5,3,18
5,3,18
5,3,18
5,3,18
5,3,18
5,3,18
5,3,18
5,3,18
5,3,18
5,3,18
5,3,18
5,3,18
